model_name,max_context_size,is_model_max,memory_allocated,tokens_per_second,decode_tokens_per_second,total_duration,total_duration_human,search_algorithm,search_time,total_tries,precision_confidence
bespoke-minicheck:7b-fp16,32768,True,21.4GiB,524.3527663028115,94.12174412297948,0.1754544,175 ms,pure_binary_max_first_g01,6.85,1,100.00%
gemma3:12b-it-fp16,131072,True,44.5GiB,27.71747261705369,23.74933693383496,1.6956813,1.70 s,pure_binary_max_first_g01,7.24,1,100.00%
gemma3:1b-it-fp16,32768,True,3.0GiB,150.58409898840947,158.7473391781217,0.1793018,179 ms,pure_binary_max_first_g01,6.65,1,100.00%
gemma3:27b-it-q4_K_M,131072,True,46.8GiB,33.52483646625656,25.124433783198047,1.2229739,1.22 s,pure_binary_max_first_g01,10.52,1,100.00%
gemma3:27b-it-q8_0,103139,False,52.6GiB,4.825604528947809,21.477168581698965,13.0553591,13.06 s,pure_binary_max_first_g01,197.90,19,100.00%
gemma3:4b-it-fp16,131072,True,14.6GiB,81.58428523497804,74.90760147358233,0.6864067,686 ms,pure_binary_max_first_g01,8.69,1,100.00%
llama3.1:8b-instruct-fp16,131072,True,50.2GiB,83.70063964028813,63.241506665654796,0.2986835,298 ms,pure_binary_max_first_g01,7.38,1,100.00%
llama3.1:8b-instruct-q2_K,131072,True,28.1GiB,216.36498176043204,201.03533195959187,0.1155455,115 ms,pure_binary_max_first_g01,7.23,1,100.00%
llama3.1:8b-instruct-q3_K_L,131072,True,29.1GiB,263.81771673153065,163.3836759284788,0.0947624,94 ms,pure_binary_max_first_g01,7.48,1,100.00%
llama3.1:8b-instruct-q3_K_M,131072,True,28.9GiB,260.00309923694294,169.59213092512508,0.0961527,96 ms,pure_binary_max_first_g01,7.47,1,100.00%
llama3.1:8b-instruct-q3_K_S,131072,True,28.5GiB,275.9738288498625,174.83587282438612,0.0905883,90 ms,pure_binary_max_first_g01,7.29,1,100.00%
llama3.1:8b-instruct-q4_0,131072,True,29.4GiB,233.16219228419675,179.85409336675622,0.1072215,107 ms,pure_binary_max_first_g01,7.54,1,100.00%
llama3.1:8b-instruct-q4_K_M,131072,True,40.0GiB,185.5742037010919,109.88256301078223,0.134717,134 ms,pure_binary_max_first_g01,8.04,1,100.00%
llama3.1:8b-instruct-q6_K,131072,True,41.5GiB,136.1318409653381,98.86014255632556,0.1836455,183 ms,pure_binary_max_first_g01,8.55,1,100.00%
llama3.1:8b-instruct-q8_0,131072,True,43.3GiB,110.48415038572226,76.1595046585817,0.2262768,226 ms,pure_binary_max_first_g01,9.41,1,100.00%
llama3.2:1b-instruct-fp16,131072,True,15.4GiB,233.65468641204535,206.72796150725355,0.1711928,171 ms,pure_binary_max_first_g01,2.22,1,100.00%
llama3.2:3b-instruct-fp16,131072,True,27.4GiB,296.0016102487598,162.4767962825309,0.1351344,135 ms,pure_binary_max_first_g01,8.22,1,100.00%
llama3.3:70b-instruct-q2_K,47427,False,52.8GiB,2.083501020440462,24.231556756363812,11.9990342,12.00 s,pure_binary_max_first_g01,220.98,19,100.00%
llama3.3:70b-instruct-q3_K_M,33889,False,52.6GiB,34.88476585066083,20.424716664500796,0.7166452,716 ms,pure_binary_max_first_g01,178.81,19,100.00%
llama3.3:70b-instruct-q4_K_M,20174,False,52.5GiB,2.486894365123125,17.74117182657561,10.0526988,10.05 s,pure_binary_max_first_g01,235.06,19,100.00%
llava-llama3:8b-v1.1-q4_0,8192,True,7.0GiB,259.851219585714,185.53779288880025,0.0962089,96 ms,pure_binary_max_first_g01,3.81,1,100.00%
